Country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974
Afghanistan,,3,1,,0,0,0,0,0,0,0,0,104,53,179,26,79,854,,84,297,84,,,,,,,21,368,286,661,1272,1053,3179,555,1940,1563,1464,1939,1496,2154,480,35,22,
Albania,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,4,14,18,48,23,17,5,3,4,4,3,3,1,2,6,3,,,,,,
Algeria,,0,0,0,0,0,0,0,1,0,0,0,0,3,7,8,7,0,3,,17,57,30,107,,951,264,16,9,30,4,5,35,30,66,108,132,71,114,116,73,108,169,282,350,329
Andorra,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,20,15,0,,,69,4,,0,0,16,0,0,0,0,0,,,,,23,,40,64,105,38,30,3,9,4,11,32,28,0,54,219,15,12,7,27
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,3,3,4,2,31,20,8,10,14,10,13,22,36,79,86,139,267,266,191,148,290
Armenia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,3,5,12,11,29,36,1,0,0,7,,,,,,,,,,,,,,,,
Australia,7,11,8,8,2,2,1,0,4,0,0,0,0,,0,0,0,0,1,0,0,0,0,,0,,39,14,8,7,1,61,32,44,17,0,1,2,18,1,0,3,7,3,22,32
Austria,,0,0,2,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,9,5,1,9
Azerbaijan,0,0,0,0,0,0,0,0,0,0,,3,4,0,0,0,0,0,0,7,19,20,38,146,883,841,170,72,66,4,,,,,,,,,,,,,,,,
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,13,6
Bangladesh,14,36,5,2,6,13,2,16,11,27,23,43,86,34,125,117,78,73,122,21,58,123,96,164,282,295,497,855,801,711,1229,613,24,1124,204,1209,3520,1860,1342,1559,1134,952,107,,706,725
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,20,28,1,2,1
Belarus,0,0,0,0,0,0,0,0,0,1,3,3,5,6,11,15,6,7,25,52,38,36,96,179,322,230,120,66,26,22,,,,,,,,,,,,,,,,
Belgium,6,2,3,6,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,,,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1,0,3,3,5,14,16
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,8,0,0,1,0
Benin,,,,,0,0,0,0,,,,,,,,,,0,,,,,,0,,,,,30,,59,14,47,6,16,2,2,3,1,127,4,3,1,4,8,3
Bhutan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,142,0,0,0,0,0,0,4,1,,40,1,3,7,4,19,4,0,1,5,4,6,,,,
Bolivia (Plurinational State of),0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,5,3,1,2,8,3,1,5,5,4,20,2,4,11,9,16,15,31,25,49,24,22,31,45,45,136,140,229,125
Bosnia and Herzegovina,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,15,1,2,0,24,9,9,9,28
Brazil,2,1,5,4,12,5,4,0,5,32,4,85,0,9,27,15,49,19,10,46,53,217,32,181,171,245,252,276,495,640,801,987,1284,1804,2304,2860,3369,3297,3846,4646,4546,5021,5685,5009,4004,3636
Brunei Darussalam,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,,1,,0,,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Burkina Faso,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,13,15,28,42,51,383,737,751,759,725,27,8,11,8,21,
Burundi,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,0,,,,0,,,30,1,0,2,3,2,3,14,4,19,8,20,6,15,9,8,54,33,17
Cabo Verde,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,,1,0,2,3,0,2,1,0,6,6,,
Cambodia,0,0,0,0,0,0,0,,,3,3,7,5,0,0,4,3,0,0,0,,0,0,0,,5,22,13,11,179,70,13,88,292,367,410,460,1503,1231,1559,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,4,8,41,412,0,0,0,,,0,,,0,0
Canada,5,4,4,1,3,1,0,1,1,0,2,4,5,0,0,1,2,2,0,0,1,0,1,0,2,1,2,2,3,5,3,4,4,5,9,8,11,12,7,55,54,119,0,109,103,173
Central African Republic,56,48,106,0,0,0,35,0,,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,,,,0,0,10,6,4,0,1,21,23,25,8,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4,10,4,1,0,,,,0,5,1,3,5
Chile,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,12,25,36,47,132,183,290,223,154,76,122,203,253,344,536,554,491,428,412
China,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,2,9,11,12,19,16,40,35,,85,119,124,146,231,421,343,267,427,787,1423,3418,7227,6502,8481,9767,16921,20084,30721,23968,38246,25859
Colombia,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,11,0,2,3,7,12,14,45,76,10,16,42,23,45,23,252,54,127,117,145,0,171,175,244,280,260,303
Comoros,,,,,0,0,0,,,0,0,,0,0,0,0,0,0,,,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Congo,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,2,5
Cook Islands,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
Côte d'Ivoire,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,432,
Croatia,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Cuba,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,1
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,37,18,70,66,167,163,317,155
